Receive part 1  of frame 1 from Station 6 , to Station 3 
Receive part 1  of frame 1 from Station 4 , to Station 3 
Receive part 2  of frame 1 from Station 6 , to Station 3 
Transfer part 1 of frame   1  from Station 6 , to station 3
Transfer part 2 of frame   1  from Station 6 , to station 3
Receive part 1  of frame 1 from Station 2 , to Station 3 
Receive part 1  of frame 2 from Station 6 , to Station 4 
Receive part 2  of frame 1 from Station 2 , to Station 3 
Transfer part 1 of frame   1  from Station 2 , to station 3
Transfer part 2 of frame   1  from Station 2 , to station 3
Receive part 2  of frame 2 from Station 6 , to Station 4 
Transfer part 1 of frame   2  from Station 6 , to station 4
Transfer part 2 of frame   2  from Station 6 , to station 4
Receive part 1  of frame 3 from Station 6 , to Station 3 
Receive part 2  of frame 1 from Station 4 , to Station 3 
Transfer part 1 of frame   1  from Station 4 , to station 3
Transfer part 2 of frame   1  from Station 4 , to station 3
Receive part 1  of frame 2 from Station 4 , to Station 4 
Receive part 2  of frame 3 from Station 6 , to Station 3 
Transfer part 1 of frame   3  from Station 6 , to station 3
Transfer part 2 of frame   3  from Station 6 , to station 3
Receive part 1  of frame 2 from Station 2 , to Station 4 
Receive part 2  of frame 2 from Station 4 , to Station 4 
Transfer part 1 of frame   2  from Station 4 , to station 4
Transfer part 2 of frame   2  from Station 4 , to station 4
Receive part 2  of frame 2 from Station 2 , to Station 4 
Transfer part 1 of frame   2  from Station 2 , to station 4
Transfer part 2 of frame   2  from Station 2 , to station 4
Receive part 1  of frame 3 from Station 4 , to Station 3 
Receive part 2  of frame 3 from Station 4 , to Station 3 
Transfer part 1 of frame   3  from Station 4 , to station 3
Transfer part 2 of frame   3  from Station 4 , to station 3
Receive part 1  of frame 3 from Station 2 , to Station 3 
Receive part 2  of frame 3 from Station 2 , to Station 3 
Transfer part 1 of frame   3  from Station 2 , to station 3
Transfer part 2 of frame   3  from Station 2 , to station 3
Receive part 1  of frame 4 from Station 6 , to Station 2 
Receive part 2  of frame 4 from Station 6 , to Station 2 
Transfer part 1 of frame   4  from Station 6 , to station 2
Transfer part 2 of frame   4  from Station 6 , to station 2
Receive part 1  of frame 4 from Station 4 , to Station 2 
Receive part 1  of frame 1 from Station 6 , to Station 3 
Receive part 1  of frame 4 from Station 2 , to Station 2 
Receive part 2  of frame 1 from Station 6 , to Station 3 
Transfer part 1 of frame   1  from Station 6 , to station 3
Transfer part 2 of frame   1  from Station 6 , to station 3
Receive part 2  of frame 4 from Station 4 , to Station 2 
Transfer part 1 of frame   4  from Station 4 , to station 2
Transfer part 2 of frame   4  from Station 4 , to station 2
Receive part 2  of frame 4 from Station 2 , to Station 2 
Transfer part 1 of frame   4  from Station 2 , to station 2
Transfer part 2 of frame   4  from Station 2 , to station 2
Receive part 1  of frame 2 from Station 6 , to Station 4 
Receive part 1  of frame 1 from Station 4 , to Station 3 
Receive part 1  of frame 1 from Station 2 , to Station 3 
Receive part 2  of frame 1 from Station 2 , to Station 3 
Transfer part 1 of frame   1  from Station 2 , to station 3
Transfer part 2 of frame   1  from Station 2 , to station 3
Receive part 2  of frame 1 from Station 4 , to Station 3 
Transfer part 1 of frame   1  from Station 4 , to station 3
Transfer part 2 of frame   1  from Station 4 , to station 3
Receive part 1  of frame 2 from Station 2 , to Station 4 
Receive part 1  of frame 2 from Station 4 , to Station 4 
Receive part 2  of frame 2 from Station 6 , to Station 4 
Transfer part 1 of frame   2  from Station 6 , to station 4
Transfer part 2 of frame   2  from Station 6 , to station 4
Receive part 2  of frame 2 from Station 2 , to Station 4 
Transfer part 1 of frame   2  from Station 2 , to station 4
Transfer part 2 of frame   2  from Station 2 , to station 4
Receive part 2  of frame 3 from Station 2 , to Station 3 
Transfer part 1 of frame   3  from Station 2 , to station 3
Transfer part 2 of frame   3  from Station 2 , to station 3
Receive part 1  of frame 3 from Station 6 , to Station 3 
Receive part 1  of frame 3 from Station 2 , to Station 3 
Receive part 2  of frame 2 from Station 4 , to Station 4 
Transfer part 1 of frame   2  from Station 4 , to station 4
Transfer part 2 of frame   2  from Station 4 , to station 4
Receive part 2  of frame 3 from Station 6 , to Station 3 
Transfer part 1 of frame   3  from Station 6 , to station 3
Transfer part 2 of frame   3  from Station 6 , to station 3
Receive part 1  of frame 3 from Station 4 , to Station 3 
Receive part 2  of frame 3 from Station 4 , to Station 3 
Transfer part 1 of frame   3  from Station 4 , to station 3
Transfer part 2 of frame   3  from Station 4 , to station 3
Receive part 1  of frame 4 from Station 6 , to Station 2 
Receive part 1  of frame 4 from Station 2 , to Station 2 
